"Metabolite","Log2FC_ TvN_Early","p.val_ TvN_Early","p.adj_ TvN_Early","Log2FC_ TvN_Late","p.val_ TvN_Late","p.adj_ TvN_Late","Log2FC_S1-S4","SUPER PATHWAY","SUB PATHWAY"
"ophthalmate",0.305124519651985,0.0207458408139932,0.0349403634761991,1.01845278745274,1.55043543204203e-07,4.0409538862272e-07,0.713328267800754,"Amino acid","Glutathione metabolism"
"ornithine",0.470660277480817,0.728792359608071,0.795046210481532,0.135858091480561,0.142431341567753,0.17492633847127,-0.334802186000256,"Amino acid","Urea cycle; arginine-, proline-, metabolism"
"p-acetamidophenylglucuronide",-0.683544766472823,0.374199961995634,0.449977407326692,-0.96796114334801,0.0664135883603461,0.0873384175697702,-0.284416376875187,"Xenobiotics","Drug"
"p-cresol sulfate",-0.549844872026363,0.0527552482404666,0.081685545662658,-1.02725975670644,9.27992913386851e-06,1.97971821522528e-05,-0.477414884680077,"Amino acid","Phenylalanine & tyrosine metabolism"
"palmitate (16:0)",0.248132923956721,0.00808933374639103,0.0147919245648293,0.159419147773557,0.0182897427861661,0.0260120786292141,-0.0887137761831638,"Lipid","Long chain fatty acid"
"palmitoleate (16:1n7)",0.551821213537001,0.000205280434866037,0.00048673526903579,0.483214859040738,7.25048371616903e-05,0.000138287371540177,-0.0686063544962635,"Lipid","Long chain fatty acid"
"palmitoyl sphingomyelin",-0.269169455026871,0.0197282453268674,0.0334219685537518,0.0060262148244748,0.820481314088217,0.856154414700748,0.275195669851346,"Lipid","Sphingolipid"
"palmitoylcarnitine",0.395761078666228,0.000699925783019722,0.00152134811705419,0.578548264990754,1.30492466552239e-05,2.70372880338453e-05,0.182787186324526,"Lipid","Carnitine metabolism"
"pantothenate",-2.41748785027376,1.12180742421795e-17,4.30774050899692e-16,-2.12430025071491,2.59472101788142e-24,1.06754236164264e-22,0.293187599558845,"Cofactors and vitamins","Pantothenate and CoA metabolism"
"paroxetine",0,NA,NA,0.00297921872823162,0.323248218085019,0.369426534954307,0.00297921872823162,"Xenobiotics","Drug"
"pelargonate (9:0)",-0.00763039144305995,0.236542646297661,0.301434876697904,-0.324376085892889,1.64998392956868e-08,5.05526991186999e-08,-0.316745694449829,"Lipid","Medium chain fatty acid"
"penicillin G",0,NA,NA,0.0320013117955449,0.678808456812393,0.725113708248053,0.0320013117955449,"Xenobiotics","Drug"
"pentadecanoate (15:0)",0.298516572958931,0.0520180046025778,0.0811988364528043,0.398966203705953,1.59607541358419e-05,3.24854925167666e-05,0.100449630747023,"Lipid","Long chain fatty acid"
"phenol red",0,NA,NA,-0.717892707534391,0.674886351952653,0.722554904692803,-0.717892707534391,"Xenobiotics","Chemical"
"phenol sulfate",-0.606645692746455,0.00808647682410682,0.0147919245648293,-1.15182796472407,2.76567034470561e-07,7.01773620506797e-07,-0.545182271977616,"Amino acid","Phenylalanine & tyrosine metabolism"
"phenylacetylglutamine",-3.1768839493181,1.00950472823625e-16,2.422811347767e-15,-3.27871661190741,1.31865874485481e-25,1.11075154180358e-23,-0.101832662589309,"Amino acid","Phenylalanine & tyrosine metabolism"
"phenylalanine",-1.00265743638598,5.70521210109284e-12,3.49595975556327e-11,-0.63766034676952,3.89417253681094e-12,1.83856014852713e-11,0.364997089616465,"Amino acid","Phenylalanine & tyrosine metabolism"
"phenylalanylalanine",3.02383527492562,4.48181538009147e-13,3.39674428806932e-12,3.01805352904958,1.14866353721438e-19,1.40772382433082e-18,-0.00578174587603852,"Peptide","Dipeptide"
"phenylalanylarginine",0.821235628809324,0.238620604972549,0.30311576263018,0.157993748365425,0.90018991621521,0.927565995956997,-0.6632418804439,"Peptide","Dipeptide"
"phenylalanylaspartate",2.0882167213666,2.60807530681345e-07,9.19744167140651e-07,1.91898834306762,1.66587409518116e-11,7.43832154127400e-11,-0.169228378298986,"Peptide","Dipeptide"
"phenylalanylglutamate",1.30418481508746,5.72644587086552e-05,0.000147251465250828,2.00845998221673,2.80263570769343e-11,1.17855241349127e-10,0.704275167129266,"Peptide","Dipeptide"
"phenylalanylglycine",1.04922119533133,0.000956276895754893,0.00203252949060819,1.73641785306389,3.58426685744132e-09,1.22889149397988e-08,0.687196657732559,"Peptide","Dipeptide"
"phenylalanylleucine",1.89552539231339,5.00356690539216e-06,1.44102726875294e-05,2.23869638157937,5.94398040959759e-09,1.97903625198163e-08,0.343170989265984,"Peptide","Dipeptide"
"phenylalanylmethionine",1.23354998629718,0.000888501239880878,0.00189546931174587,1.39423826985252,5.62638212533559e-05,0.000109486354871395,0.160688283555343,"Peptide","Dipeptide"
"phenylalanylphenylalanine",1.53357944872553,5.8083063753371e-05,0.00014869264320863,1.44269506447037,4.52738470296908e-06,1.01469789451758e-05,-0.090884384255159,"Peptide","Dipeptide"
"phenylalanylproline",1.16862396231661,0.00139026269203125,0.00289094335960288,1.57563799766853,6.24959564933892e-09,2.06883166322944e-08,0.407014035351924,"Peptide","Dipeptide"
"phenylalanylserine",2.20983676395314,2.2270187913646e-11,1.2334257921404e-10,2.19541759502173,1.65403824235769e-16,1.40106768764416e-15,-0.0144191689314122,"Peptide","Dipeptide"
"phenylalanyltryptophan",0.71498106275142,0.466589690182273,0.546251344603636,0.608557282783987,0.134773021431513,0.166229679538654,-0.106423779967433,"Peptide","Dipeptide"
"phenylalanyltyrosine",1.5213439610958,0.0011271900114444,0.00238699061247049,1.5620732722558,1.77685597926117e-07,4.56905823238586e-07,0.0407293111599956,"Peptide","Dipeptide"
"phenylalanylvaline",1.10566296544529,0.163715128282672,0.214806181983643,1.36932747217985,0.000437678684063972,0.000759346150665205,0.263664506734562,"Peptide","Dipeptide"
"phosphate",-0.480171050365997,7.54760548335456e-06,2.14158658049864e-05,-0.238705901625674,0.00177209179147918,0.00288340359291528,0.241465148740323,"Energy","Oxidative phosphorylation"
"phosphoenolpyruvate (PEP)",-1.52236646438315,9.70443032720936e-08,3.58317427466192e-07,-1.41826855075047,1.47758630640999e-08,4.55128188498478e-08,0.104097913632681,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"phosphoethanolamine",-0.242549584907841,0.000253572317449254,0.00059132653785737,-0.0581864110551838,0.118635625247175,0.147909350957517,0.184363173852657,"Lipid","Glycerolipid metabolism"
"phytosphingosine",-0.576528631069701,0.0799359352567487,0.117757285697921,-0.135579851730966,0.991666991541622,1,0.440948779338735,"Lipid","Sphingolipid"
"pipecolate",0.217331648920447,0.452354206874581,0.531746986040324,0.446255528868206,0.94602753753734,0.969594059824747,0.228923879947759,"Amino acid","Lysine metabolism"
"piperine",0.122009823997519,0.878714014688815,0.918583071616619,0.0846451524459992,0.759249072643434,0.79804282088069,-0.0373646715515194,"Xenobiotics","Food component/Plant"
