"Pathway","Comparison","Regulation_Grouping_2","fGSEA NES","fGSEA padj","fGSEA pval","fGSEA size","gene","Genes_in_Pathway","Percentage_of_Pathway_detected","In Threshold?"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC7A8",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC38A4",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC38A3",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A7",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC7A3",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A5",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC38A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"ASRGL1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"ASNS",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC25A12",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"AGXT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"GOT1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"GPT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"GPT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC25A13",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"ASPA",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC38A5",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"GOT2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"ACY3",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC7A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"DDO",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"AGXT2L1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A6",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A4",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC36A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"AGXT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC1A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC7A10",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TPDS&TMDE",0.88309608388072,0.99044015136427,0.678550089623581,1,"SLC6A14",32,3.12,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC38A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC7A8",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC38A4",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC38A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A7",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC7A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC1A5",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC38A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"ASRGL1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"ASNS",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"SLC25A12",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"AGXT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"GOT1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"GPT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","PBRM1-BAP1","TMDS",-0.759667555963946,0.849645220917059,0.793103448275862,3,"GPT",32,9.38,"NO"
