ensembl_gene_id,logFC_rna,padj_rna,logFC_meth,padj_meth,CpG_Beta_diff,external_gene_name,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,Regulation_Grouping_1,Regulation_Grouping_2,Regulation_Grouping_3
ENSG00000144642,0.477559215302712,8.516567839418361e-09,-3.88797022079838,1.4123824122825201e-155,-0.5075024194721428,RBMS3,27303.0,RBMS3,-0.260269807023852,8.83344986942536e-10,None,None,None
ENSG00000144644,-4.38596398611485,3.74246351665898e-71,0.661824070209716,1.48936123489239e-15,0.0904184713718923,GADL1,339896.0,GADL1,0.0,1.0,TPDS_TMDE_M--_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144645,-0.268399301348775,0.0004847609874515,-1.78887447372477,2.2367528208480105e-61,-0.1686924284856505,OSBPL10,114884.0,OSBPL10,-0.234797668704302,1.7867272541974102e-19,None,None,None
ENSG00000144647,-1.01840718474008,2.95653117367114e-90,0.0,1.0,0.0,POMGNT2,84892.0,POMGNT2,-0.157867746613928,5.11288144907717e-06,TPDS_TMDE_M--_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144648,-1.93352160157034,1.15444052911831e-33,2.45437549497568,1.85931974342743e-51,0.3233848426318719,ACKR2,1238.0,ACKR2,0.0,1.0,MDS_TMDE_M-pos_R-neg_P--,MDS_TMDE,TMDE
ENSG00000144659,-0.977639920860338,1.38284828813342e-115,-0.58947697796141,2.68140643065057e-32,-0.0432678891519473,SLC25A38,54977.0,SLC25A38,0.0,1.0,None,None,None
ENSG00000144668,0.508754592271232,2.99327901058577e-09,-1.67187928548906,1.30504977321407e-72,-0.1192373982297868,ITGA9,3680.0,ITGA9,-0.0229381284410894,0.615446451570745,None,None,None
ENSG00000144671,-2.14383477914614,9.79160820685494e-53,0.508636129896809,1.1489291638241402e-15,0.0614804476008151,SLC22A14,9389.0,SLC22A14,0.0,1.0,TPDS_TMDE_M--_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144674,-0.584041303451702,5.4610570274781705e-61,-1.76769905013518,1.74167580190946e-64,-0.2377641751620073,GOLGA4,2803.0,GOLGA4,-0.425850402855382,2.10926886480708e-61,None,None,None
ENSG00000144677,-0.996470591612507,8.12741717455798e-69,1.01686624279706,4.98307524984946e-31,0.1681699964525878,CTDSPL,10217.0,CTDSPL,-0.531934474000146,8.20178182124323e-35,TPDE_TMDS_M-pos_R--_P-neg,TMDS,TMDS
ENSG00000144681,-0.7824400288487,2.92483497905705e-05,-0.781606508585417,2.8272187733031602e-15,-0.1073696150487673,STAC,6769.0,STAC,0.0,1.0,None,None,None
ENSG00000144711,-0.343385550087949,2.14292002617492e-06,2.36870840217061,2.02985484081374e-78,0.2947524733629221,IQSEC1,9922.0,IQSEC1,-0.154158305524956,1.3463879913184e-14,None,None,None
ENSG00000144712,-1.5503162147194,7.42439620593497e-57,-3.06469119472121,1.07081295582613e-115,-0.098708894905298,CAND2,23066.0,CAND2,-0.538869133473785,7.210365595291519e-29,TPDS_M--_R-neg_P-neg,TPDS,TPDS
ENSG00000144713,0.501256094652008,3.2457709050582005e-16,-1.81275247339436,3.1332087925267196e-40,-0.1455795072040148,RPL32,6161.0,RPL32,0.597790608893683,9.52071535286868e-39,TPDS_TMDE_M-neg_R--_P-pos,TMDE,TMDE
ENSG00000144724,-0.208298024288051,0.0060948822645838,-1.02327392659563,3.72794505324334e-26,-0.1677180823849669,PTPRG,5793.0,PTPRG,-0.290746649886132,4.0077791135988803e-20,None,None,None
ENSG00000144730,-1.45870510537273,6.63155596014478e-31,-3.75875797038442,3.13366053602497e-137,-0.5592321726107714,IL17RD,54756.0,IL17RD,-0.0940981701707445,0.141064318634943,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144741,-0.1911267650203,8.76887149862695e-06,0.0,1.0,0.0,SLC25A26,115286.0,SLC25A26,-0.616327458947621,3.73524187884966e-28,TMDS_M--_R--_P-neg,TMDS,TMDS
ENSG00000144746,0.68498304212745,3.44374878211141e-29,-2.6304877712528,2.13008540957459e-96,-0.4053684991665726,ARL6IP5,10550.0,ARL6IP5,0.257039445620643,1.5179779201774e-13,None,None,None
ENSG00000144749,0.19215041531373,0.0393893233427184,-2.63137752823187,1.44851206256037e-87,-0.391831003557595,LRIG1,26018.0,LRIG1,0.0,1.0,None,None,None
ENSG00000144771,-2.73442365738607,7.10765438104193e-39,-1.44020764673523,5.95788430848052e-45,-0.2074191158735687,LRTM1,57408.0,LRTM1,0.0,1.0,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000144791,0.582134876902125,6.3934359507712595e-34,-2.77124840993689,1.5415362683574e-73,-0.4127116848626753,LIMD1,8994.0,LIMD1,0.0832060730871394,1.34659764056115e-05,None,None,None
ENSG00000144802,-0.315310150378941,0.0354415573783499,0.996204511679224,2.8509394460706496e-30,0.158198231019828,NFKBIZ,64332.0,NFKBIZ,0.0,1.0,None,None,None
ENSG00000144810,2.59478908582841,9.42904690095801e-70,-2.65580178713615,9.53122140966397e-78,-0.3819543055755006,COL8A1,1295.0,COL8A1,1.06411684082335,6.0184100930634096e-36,MDE_M-neg_R-pos_P-pos,MDE,MDE
ENSG00000144815,0.542387084465832,1.20219335483803e-13,-0.590206949053105,4.77276052022612e-08,-0.083026229936758,NXPE3,91775.0,NXPE3,0.0,1.0,None,None,None
ENSG00000144821,1.85800528269004,5.8010957521953e-30,-0.707636127591399,1.8422800536543705e-17,-0.0622440242692877,MYH15,22989.0,MYH15,0.0,1.0,TPDE_TMDS_M--_R-pos_P--,TPDE_TMDS,TMDS
ENSG00000144827,-0.903721046793349,3.86400682357306e-40,1.49289790602899,7.20961601656862e-34,0.1601030432037081,ABHD10,55347.0,ABHD10,-1.01393401904874,1.9668012737721802e-54,TPDE_TMDS_M-pos_R--_P-neg,TMDS,TMDS
ENSG00000144834,-4.15645051361267,2.56019995974202e-60,1.79412054341167,3.77718898568698e-49,0.2312505215240114,TAGLN3,29114.0,TAGLN3,-1.27996637540453,5.770804451465521e-52,MDS_M-pos_R-neg_P-neg,MDS,MDS
ENSG00000144837,1.55052447813649,7.33119433466793e-39,1.68222200056866,1.03017202834015e-36,0.2134516619242236,PLA1A,51365.0,PLA1A,0.127024621838667,0.0277087231509831,TPDE_TMDS_M-pos_R-pos_P--,TPDE_TMDS,TMDS
