Comparison	Regulation_Grouping_2	Pathway	 fGSEA NES	 fGSEA padj	 fGSEA pval 	 fGSEA size
old-young	TPDS	Glycolysis and Gluconeogenesis	1.3306419619293102	0.5719768664563617	0.1243427970557308	11
old-young	TPDS	Arginine and Proline Metabolism	1.3375515023938584	0.4902651067940325	0.0994740796393689	4
old-young	TPDS	Selenoamino acid metabolism	1.3646723050988951	0.4074395329441201	0.05904920767306088	2
old-young	TPDS	Urea Cycle	1.3743231877580009	0.4807048698859367	0.07663410969196092	4
old-young	TPDS	Valine, Leucine and Isoleucine Metabolism	1.3928707403559646	0.4902651067940325	0.08649897330595482	13
old-young	TPDS	Citric Acid Cycle	1.4854531971432898	0.36919300012589706	0.042804985521843135	15
old-young	TPDS	Pentose Phosphate Pathway	1.4981592201289131	0.36919300012589706	0.025244177310293013	4
old-young	TPDS	Glycine, Serine and Threonine Metabolism	1.5057106088628756	0.36919300012589706	0.036761928742288806	15
old-young	TPDS	Methionine Metabolism	1.5100761819623256	0.36919300012589706	0.032622692802976104	6
old-young	TPDS	Lysine Metabolism	1.5388253358517603	0.36919300012589706	0.01607813673929376	4
old-young	TPDS	Glutathione Metabolism	1.6272707229574568	0.04343720491029273	0.0012590494176896445	3
old-young	TPDS	Glycerophospholipid Metabolism	1.688494769959817	0.02171860245514636	0.00031476235442241113	3
old-young	TPDE	NAD Metabolism	-1.2947027241012443	0.2608489634748273	0.07245804540967424	1
old-young	TPDE	Eicosanoid Metabolism	-1.2310129767151747	0.4168678334339167	0.1665628891656289	2
old-young	TPDE	Phosphoinositide Signalling	-1.1119825815869562	0.4893310046320906	0.347680157946693	1
old-young	TPDE	Transport, Lysosomal	-1.1067620060865475	0.4893310046320906	0.3534057255676209	1
old-young	TPDE	Valine, Leucine and Isoleucine Metabolism	-1.002350496078383	0.6387364264560711	0.5099703849950642	1
old-young	TPDE	Glycerophospholipid Metabolism	-0.986688769577158	0.6387364264560711	0.5322803553800592	1
old-young	TPDE	Fatty Acid Metabolism	-0.7726451740604201	0.8970026151679743	0.8481737413622902	1
old-young	TPDE	Carbonic Acid Metabolism	0.7435217575365968	0.8970026151679743	0.8970026151679743	1
old-young	TPDE	Inositol Phosphate Metabolism	0.7857073891698788	0.8970026151679743	0.8306175819754577	1
old-young	TPDE	Purine Biosynthesis	1.1706512778235778	0.41937784605255946	0.2562864614765641	1
old-young	TPDE	Arginine and Proline Metabolism	1.175924481777738	0.41937784605255946	0.24904445785556226	1
old-young	TPDE	Glycogen Degradation	1.1864708896860587	0.41937784605255946	0.2367732850533092	1
old-young	TPDE	Citric Acid Cycle	1.2181101134110202	0.4168678334339167	0.18527459263729631	1
old-young	TPDE	Glutathione Metabolism	1.2286565213193408	0.4168678334339167	0.16817541742104206	1
old-young	TPDE	Fatty Acid Biosynthesis	1.3393938043567062	0.13035606517803258	0.02172601086300543	1
old-young	TPDE	Nucleotide Metabolism	1.3499402122650268	0.08328304164152082	0.009253671293502314	1
old-young	TPDE	Protein Modification	1.4683801236058291	0.1920502092050209	0.04267782426778242	2
old-young	TPDE	Glycolysis and Gluconeogenesis	1.8526427888190518	0.08328304164152082	0.007367990176013099	4
